_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64c076e8031fca34f825c87a,353797000,HODV,DERYOUNG SUPERSTAR,100,"Cargo ship, General",19
64c07d94031fca34f8265042,413904000,BVGX5,JIHANG57,150,"Cargo ship, General",21
64c08c93031fca34f8278d60,258097000,LAVJ7,BELSOUTH,200,"Cargo ship, General",33
64c0c147031fca34f82c5057,413241750,@@@@@@@,YUEXINHUIGONG8129,44,"Other types of ship, General",16
64c0c48c031fca34f82c9d69,413359710,BHRW3,FEI XIONG 6,158,"Cargo ship, General",23
64c0d19e031fca34f82dd3f6,412704790,BPDQ4,FANGZHOU 27,92,"Cargo ship, General",16
64c0e1b9031fca34f82f29dd,351812000,3FZM5,TAI HANG SHAN,120,"Cargo ship, General",20
64c0f39b031fca34f8308ea3,413184000,BRQC,AN SHENG SHAN,199,"Cargo ship, General",32
64c0f885031fca34f830ec4b,370335000,HO7805,SMART RISING,100,"Cargo ship, General",16
64c102b5031fca34f831ba3a,235700000,VQUK5,EVER PRIMA,182,"Cargo ship, Category OS",28
64c10635031fca34f8320b6d,538009696,V7A5054,ATLANTIC VISION,189,"Cargo ship, General",32
64c10f13031fca34f832b528,413269140,@@@@@@@,TIAN TAI 3 HAO,34,"Tanker, General",8
64c113cf031fca34f83321f6,413235950,BOHC2,XIN FU SHUN,159,"Cargo ship, General",24
64c118df031fca34f833986c,477779300,VRGQ2,FIRSTEC,175,"Cargo ship, General",31
